TimeStamp,Dataset Name,TimeStamp,Hub Wind Speed,Hub Turbulence,REWS To Hub Ratio Full,REWS To Hub Ratio Just Wind Speed,REWS To Hub Ratio Just Wind Speed And Veer,REWS To Hub Ratio Just Wind Speed And Upflow,REWS To Hub Ratio Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Hub Power,Normalised WS,Rotor Equivalent Wind Speed,REWS Power,Simulated TI Corrected Power,Combined Power,Power Deviation Matrix Power,Base Power
2012-10-31 19:30:00,Dataset 2,2012-10-31 19:30:00,14.762842,0.087382,1.00230741355,1.00230741355,1.00230741355,1.00230741355,0.00230741355131,14.762842,15.0,0.09,2000.0,1.6333338831,14.7969059817,2000.0,1999.99979993,1999.97781841,2000.0,2000.0
2012-10-31 19:40:00,Dataset 2,2012-10-31 19:40:00,14.702524,0.076177,1.00472581404,1.00472581404,1.00472581404,1.00472581404,0.00472581403503,14.702524,15.0,0.07,2000.0,1.62418021968,14.7720053943,2000.0,1999.6963981,1999.64244318,2000.0,2000.0
2012-10-31 19:50:00,Dataset 2,2012-10-31 19:50:00,15.043346,0.083093,0.999854058502,0.999854058502,0.999854058502,0.999854058502,-0.000145941498016,15.043346,15.0,0.09,2000.0,1.67590225747,15.0411505515,2000.0,1999.73731717,1999.73811095,2000.0,2000.0
2012-10-31 20:00:00,Dataset 2,2012-10-31 20:00:00,15.66612,0.065109,1.00138407513,1.00138407513,1.00138407513,1.00138407513,0.00138407512834,15.66612,16.0,0.07,2000.0,1.77041241341,15.687803087,2000.0,1999.28954983,1999.29704094,2000.0,2000.0
2012-10-31 20:10:00,Dataset 2,2012-10-31 20:10:00,15.40861,0.07723,1.00164827727,1.00164827727,1.00164827727,1.00164827727,0.0016482772653,15.40861,15.0,0.07,2000.0,1.73133353366,15.4340076616,2000.0,1999.50420133,1999.50491274,2000.0,2000.0
2012-10-31 20:20:00,Dataset 2,2012-10-31 20:20:00,15.695941,0.06817,0.998300819714,0.998300819714,0.998300819714,0.998300819714,-0.00169918028638,15.695941,16.0,0.07,2000.0,1.77493795134,15.6692707665,2000.0,1999.35071834,1999.34282528,2000.0,2000.0
2012-10-31 20:30:00,Dataset 2,2012-10-31 20:30:00,15.672506,0.061254,1.00529674542,1.00529674542,1.00529674542,1.00529674542,0.0052967454222,15.672506,16.0,0.07,2000.0,1.77138153199,15.7555192744,2000.0,1999.23338532,1999.26737588,2000.0,2000.0
2012-10-31 20:40:00,Dataset 2,2012-10-31 20:40:00,15.811112,0.065144,0.995387262699,0.995387262699,0.995387262699,0.995387262699,-0.00461273730061,15.811112,16.0,0.07,2000.0,1.79241592757,15.7381794939,2000.0,1999.34140388,1999.31526822,2000.0,2000.0
2012-10-31 20:50:00,Dataset 2,2012-10-31 20:50:00,16.272751,0.055307,0.995981902312,0.995981902312,0.995981902312,0.995981902312,-0.00401809768807,16.272751,16.0,0.05,2000.0,1.86247276018,16.2073654968,2000.0,1999.43904386,1999.41090416,2000.0,2000.0
2012-10-31 21:00:00,Dataset 2,2012-10-31 21:00:00,15.065238,0.065714,0.997526550963,0.997526550963,0.997526550963,0.997526550963,-0.00247344903703,15.065238,15.0,0.07,2000.0,1.67922451616,15.0279749016,2000.0,1999.17871498,1999.18057497,2000.0,2000.0
