TimeStamp	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Shear Exponent	Profile Rotor Wind Speed	Profile Hub Wind Speed	Hub to Rotor Ratio	Hub to Rotor Deviation	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Rotor Equivalent Wind Speed	REWS Power	Turbulence Power	Combined Power
2012-03-27 01:50:00	Dataset 1	2012-03-27 01:50:00	10.33	0.105518	0.17896040808501568	10.376420297034311	10.382562684236863	0.999408393920715	-0.0005916060792849898	10.33	10.0	0.11	1725.11	1725.11	10.323888709200986	1722.44	1717.0115302143895	1714.37589090739
2012-03-27 02:00:00	Dataset 1	2012-03-27 02:00:00	11.21	0.09901900000000001	0.188900273232703	11.057917280722625	11.084029892897533	0.9976441229022993	-0.002355877097700687	11.21	11.0	0.09	1921.64	1921.64	11.183590617734776	1919.12	1923.4069253102882	1920.8936829007243
2012-03-27 02:10:00	Dataset 1	2012-03-27 02:10:00	13.47	0.073497	0.1595310722872011	13.286900912322311	13.352435154217535	0.9950919632907168	-0.004908036709283192	13.47	13.0	0.06999999999999999	1999.47	1999.47	13.403888745525956	1999.4	2000.0	2000.0
2012-03-27 02:20:00	Dataset 1	2012-03-27 02:20:00	15.49	0.058748	0.16719668034976226	14.958955885960545	15.016971011540623	0.9961366959065519	-0.00386330409344815	15.49	15.0	0.05	2000.0	2000.0	15.430157419592488	2000.0	1999.1216023692587	1999.0978027210356
2012-03-27 02:30:00	Dataset 1	2012-03-27 02:30:00	15.86	0.077554	0.23665998876840239	15.673130227823616	15.846452475556335	0.989062394375014	-0.010937605624986024	15.86	16.0	0.06999999999999999	2000.0	2000.0	15.686529574787722	2000.0	1999.563001235417	1999.5356816220624
2012-03-27 02:40:00	Dataset 1	2012-03-27 02:40:00	15.0	0.085333	0.22242117561130806	14.784039451000616	14.816641396985062	0.9977996399378958	-0.002200360062104223	15.0	15.0	0.09	2000.0	2000.0	14.966994599068437	2000.0	1999.8203004273776	1999.8343830836677
2012-03-27 02:50:00	Dataset 1	2012-03-27 02:50:00	14.24	0.106742	0.2121736244868667	13.740111570367457	13.77515228684095	0.9974562374524915	-0.0025437625475085435	14.24	14.0	0.11	2000.0	2000.0	14.203776821323478	2000.0	1999.1771181971942	1999.1284900188932
2012-03-27 03:00:00	Dataset 1	2012-03-27 03:00:00	14.02	0.105563	0.2845439065058394	13.701916374770661	13.649019977801116	1.0038754721625125	0.0038754721625124944	14.02	14.0	0.11	2000.0	2000.0	14.074334119718424	2000.0	1999.084403998867	1999.1564948713117
2012-03-27 03:10:00	Dataset 1	2012-03-27 03:10:00	15.38	0.09687899999999999	0.18681644282081966	15.088378730230858	14.98810298679139	1.0066903559128089	0.006690355912808865	15.38	15.0	0.09	2000.0	2000.0	15.482897673939002	2000.0	1999.9728769334965	1999.9664294525173
2012-03-27 03:20:00	Dataset 1	2012-03-27 03:20:00	16.17	0.082251	0.16763207198077051	15.68849457107584	15.597364089993764	1.0058426847354636	0.005842684735463566	16.17	16.0	0.09	2000.0	2000.0	16.264476212172447	2000.0	1999.6975873599145	1999.71144899756
2012-03-27 03:30:00	Dataset 1	2012-03-27 03:30:00	15.12	0.114418	0.17790674917233734	14.422384852661459	14.230998781920986	1.013448533983687	0.01344853398368695	15.12	15.0	0.11	2000.0	2000.0	15.323341833833346	2000.0	1999.4531991794217	1999.6487071563781
2012-03-27 03:40:00	Dataset 1	2012-03-27 03:40:00	13.27	0.126601	0.20337616061172445	13.086505675107706	13.018643248004853	1.0052127111719766	0.005212711171976636	13.27	13.0	0.13	1999.27	1999.27	13.33917267725213	1999.34	1983.7147254304189	1984.7129675140263
2012-03-27 03:50:00	Dataset 1	2012-03-27 03:50:00	11.29	0.158547	0.20338833261778833	11.761708332565096	11.584778786003607	1.0152725874036757	0.015272587403675653	11.29	11.0	0.15000000000000002	1928.36	1928.36	11.462427511787498	1942.64	1825.2738578267029	1841.701215588761
2012-03-27 04:00:00	Dataset 1	2012-03-27 04:00:00	9.95	0.13467300000000001	0.16727205661620798	9.494862990986793	9.49690939484287	0.9997845189660134	-0.00021548103398660867	9.95	10.0	0.13	1617.95	1617.95	9.947855963711833	1617.95	1581.4423177235462	1581.532832579366
2012-03-27 04:10:00	Dataset 1	2012-03-27 04:10:00	9.68	0.152893	0.2502698204154242	9.63393001792061	9.665244130016514	0.9967601323179562	-0.003239867682043762	9.68	10.0	0.15000000000000002	1515.08	1515.08	9.648638080837816	1503.65	1475.7756798355747	1466.3870868989582
2012-03-27 04:20:00	Dataset 1	2012-03-27 04:20:00	10.78	0.124304	0.19404380437257066	10.340588992166124	10.309410464493123	1.0030242784279841	0.0030242784279841395	10.78	11.0	0.13	1845.26	1845.26	10.81260172145367	1853.27	1802.408597808124	1810.1497300202288
2012-03-27 04:30:00	Dataset 1	2012-03-27 04:30:00	10.61	0.143261	0.23460104373124765	10.42755228546224	10.435271743816246	0.9992602532503687	-0.0007397467496312871	10.61	11.0	0.15000000000000002	1799.87	1799.87	10.60215128698641	1797.2	1728.128654282758	1725.6507350573697
2012-03-27 04:40:00	Dataset 1	2012-03-27 04:40:00	11.02	0.147005	0.23300598823535548	11.115739158154332	11.016509847490687	1.0090073273693163	0.00900732736931631	11.02	11.0	0.15000000000000002	1905.68	1905.68	11.119260747609866	1914.08	1821.8240466941763	1830.0559192786955
2012-03-27 04:50:00	Dataset 1	2012-03-27 04:50:00	7.62	0.24278200000000003	0.18617805244200933	8.294322575272263	8.3022414966667	0.9990461706760017	-0.0009538293239983453	7.62	8.0	0.25	774.62	774.62	7.612731820551133	771.61	850.3532636939105	847.4339901317089
2012-03-27 05:00:00	Dataset 1	2012-03-27 05:00:00	8.12	0.157635	0.22860145054252187	7.852556952290607	7.822209866195719	1.003879605202877	0.00387960520287689	8.12	8.0	0.15000000000000002	933.04	933.04	8.151502394247359	944.05	962.1586336132384	972.8428995914329
2012-03-27 05:10:00	Dataset 1	2012-03-27 05:10:00	8.25	0.134545	0.20128625869301503	8.416845307750506	8.308930789951956	1.0129877743029285	0.012987774302928523	8.25	8.0	0.13	980.75	980.75	8.35714913799916	1021.12	997.7119216280717	1037.2417549294307
2012-03-27 05:20:00	Dataset 1	2012-03-27 05:20:00	9.43	0.109226	0.14723398267892338	9.288244871491013	9.32126237156336	0.9964578295561045	-0.003542170443895487	9.43	9.0	0.11	1419.83	1419.83	9.396597332714066	1408.4	1416.9573476258586	1405.917638728069
2012-03-27 05:30:00	Dataset 1	2012-03-27 05:30:00	9.02	0.135255	0.18275966593004342	8.952030505744533	8.912819042105316	1.004399445725755	0.0043994457257550135	9.02	9.0	0.13	1263.62	1263.62	9.05968300044631	1278.86	1265.862676899293	1279.7517057117454
2012-03-27 05:40:00	Dataset 1	2012-03-27 05:40:00	8.72	0.095183	0.17721829699128305	8.244514672377809	8.24425710390186	1.0000312421692703	3.1242169270306874e-05	8.72	9.0	0.09	1153.24	1153.24	8.720272431716038	1153.24	1151.4446528352225	1151.4452608653062
